IMAGE,ENGLISH,HINDI,NUMBER_OF_LINE,NUMBER_OF_LINE_ENGLISH,STRIP_HINDI,STRIP_HINDI
./images/raw_images/scene1.jpg, A Radiant Day,एक किरणमय दिन,0,0,./images/processed_images/strip0.jpg,./images/processed_images/strip0.jpg
./images/raw_images/scene2.jpg,The eminent Boston Public Library,प्रसिद्ध बॉस्टन सार्वजनिक पुस्तकालय,1,1,./images/processed_images/strip1.jpg,./images/processed_images/strip1.jpg
./images/raw_images/scene3.jpg,Oliver scrolling through books at library,ऑलिवर पुस्तकालय में किताबें ब्राउज़ करते हुए।,1,1,./images/processed_images/strip2.jpg,./images/processed_images/strip2.jpg
./images/raw_images/scene4.jpg,AI powered glasses\nlying between books,किताबों के बीच पड़ा\nएआई संचालित चश्मा,2,2,./images/processed_images/strip3.jpg,./images/processed_images/strip3.jpg
./images/raw_images/scene5.jpg,Oliver pulls out a book\nAI glasses fall down,ओलिवर एक किताब निकालता है\nएआई चश्मा नीचे गिर जाता है,2,2,./images/processed_images/strip4.jpg,./images/processed_images/strip4.jpg
./images/raw_images/scene6.jpg,Oliver sees the glasses on floor\npicks it up\nhe finds them suspicious,ओलिवर फर्श पर चश्मा देखता है\nउसे उठाता है\nउसे वे संदिग्ध लगते हैं,3,3,./images/processed_images/strip5.jpg,./images/processed_images/strip5.jpg
./images/raw_images/scene7.jpg,Oliver approaches the librarian with glasses\nMs.Doyle asks him to try on the glasses,ओलिवर चश्मे के साथ लाइब्रेरियन के पास आता है\nसुश्री डॉयल उसे चश्मा आज़माने के लिए कहती है,2,2,./images/processed_images/strip6.jpg,./images/processed_images/strip6.jpg
./images/raw_images/scene8.jpg,Oliver puts on the glasses,ओलिवर चश्मा लगाता है,1,1,./images/processed_images/strip7.jpg,./images/processed_images/strip7.jpg
./images/raw_images/scene9.jpg,He finds a book about the\nBoston Tea Party,उसे बोस्टन टी पार्टी के\nबारे में एक किताब मिली,2,2,./images/processed_images/strip8.jpg,./images/processed_images/strip8.jpg
./images/raw_images/scene10.jpg,The book is filled with pictures\nabout Boston Tea Party,यह पुस्तक बोस्टन टी पार्टी के\nबारे में चित्रों से भरी हुई है,2,2,./images/processed_images/strip9.jpg,./images/processed_images/strip9.jpg
